lpk	profession
111	Teisės aktų leidėjai ir vyresnieji valstybės tarnautojai 
112	"Įmonių, įstaigų ir organizacijų vadovai "
121	Verslo paslaugų srities ir administracijos vadovai 
122	"Pardavimo, rinkodaros ir plėtros vadovai "
131	"Žemės, miškų ir žuvininkystės ūkio produkcijos gamybos vadovai "
132	"Gamybos, gavybos, statybos ir platinimo vadovai "
133	Informacinių technologijų ir ryšių paslaugų srities vadovai 
134	Profesionaliųjų paslaugų srities vadovai 
141	Viešbučių ir restoranų vadovai 
142	Mažmeninės ir didmeninės prekybos vadovai 
143	Kitų paslaugų srities vadovai 
211	Fizinių mokslų specialistai 
212	"Matematikai, aktuarai ir statistikai "
213	Gyvosios gamtos mokslų specialistai 
214	Inžinerijos specialistai (išskyrus elektros technologijų inžinierius) 
215	Elektros technologijų inžinieriai 
216	"Architektai, planuotojai, topografai ir dizaineriai "
221	Gydytojai 
222	Slaugos ir akušerijos specialistai 
223	Tradicinės ir liaudies medicinos specialistai 
224	Paramedikai 
225	Veterinarai 
226	Kiti sveikatos specialistai 
231	Aukštųjų mokyklų dėstytojai 
232	Profesijos mokytojai 
233	Pagrindinio ir vidurinio ugdymo mokytojai 
234	Pradinio ir ikimokyklinio ugdymo mokytojai 
235	Kiti mokymo specialistai 
241	Finansų specialistai 
242	Administravimo specialistai 
243	"Pardavimo, rinkodaros ir viešųjų ryšių specialistai "
251	Programinės įrangos ir taikomųjų programų kūrėjai ir analitikai 
252	Duomenų bazių ir tinklų specialistai 
261	Teisės specialistai 
262	"Bibliotekininkai, archyvų ir muziejų specialistai "
263	Socialinės ir religinės sričių specialistai 
264	"Autoriai, žurnalistai ir kalbininkai "
265	Kūrybiniai darbuotojai ir atlikėjai 
311	Fizinių mokslų ir inžinerijos technikai 
312	"Gavybos, gamybos ir statybos darbų meistrai ir brigadininkai "
313	Technologinių procesų valdymo technikai 
314	Gyvosios gamtos mokslų technikai ir jaunesnieji giminiškų profesijų specialistai 
315	Laivų ir orlaivių valdymo vadovai ir technikai 
321	Medicinos ir farmacijos technikai 
322	Jaunesnieji slaugos ir akušerijos specialistai 
323	Jaunesnieji tradicinės ir liaudies medicinos specialistai 
324	Veterinarijos technikai ir felčeriai 
325	Kiti jaunesnieji sveikatos specialistai 
331	Jaunesnieji finansų ir matematikos specialistai 
332	Pardavimo ir pirkimo agentai ir brokeriai 
333	Verslo paslaugų agentai 
334	Administravimo ir specialiųjų sričių sekretoriai 
335	Jaunesnieji valstybės tarnybų specialistai 
341	"Jaunesnieji teisės, socialinių ir religijos profesijų specialistai "
342	Sporto ir kūno rengybos darbuotojai 
343	"Jaunesnieji meno, kultūros ir kulinarijos specialistai "
351	Informacinių technologijų ir ryšių sistemų eksploatavimo ir pagalbos jų naudotojams technikai 
352	Telekomunikacijų ir transliavimo technikai 
411	"Tarnautojai, atliekantys bendras funkcijas "
412	"Sekretoriai, atliekantys bendras funkcijas "
413	Klavišinių įtaisų operatoriai 
421	Kasininkai ir giminiškų profesijų tarnautojai 
422	Klientų informavimo tarnautojai 
431	"Apskaitos, statistikos ir finansų tarnautojai "
432	Materialinių vertybių apskaitos ir transporto tarnautojai 
441	Kiti tarnautojai 
511	"Kelionių palydovai, konduktoriai ir kelionių vadovai "
512	Virėjai 
513	Padavėjai ir barmenai 
514	"Kirpėjai, kosmetikai ir giminiškų profesijų darbuotojai "
515	Vyresnieji pastatų ir bendrosios priežiūros darbuotojai 
516	Kiti paslaugų asmenims darbuotojai 
521	Gatvės prekystalių ir turgaviečių pardavėjai 
