nace,esize_class,gender,age_class,lpk,education,experience,target,xgb,grb,rf,lm,svr,tf
C,1_49,M,40-49,p721,G2,13,8.2,4.5036783,4.176350483647967,4.778167238353179,4.061958217524362,4.009177668363704,4.0490007
C,1_49,F,40-49,p334,G2,0,2.51,3.0513437,2.9809689801663186,3.041896985956179,2.99290721021438,3.122998020306446,3.2927508
M,50_249,F,40-49,p522,G2,18,2.19,3.4256687,3.1729077450399226,3.256087139409017,3.945912737769687,2.9078242752904155,3.2452116
M,50_249,F,40-49,p522,G2,12,2.19,3.2988343,3.066702154650294,3.2199818252900396,3.849712170041693,2.802480221860106,3.1769366
M,50_249,F,14-29,p522,G2,0,2.19,2.9918041,2.9209133422273057,2.9933663003915494,3.531646345237978,2.7419287289908074,2.8805768
M,50_249,M,50-59,p522,G2,3,2.19,3.3311703,3.1952667982484138,3.0984422102550133,3.895328817263957,2.94577799360325,3.68891
M,50_249,F,40-49,p522,G2,0,2.26,3.0447893,2.8799903949898153,3.0008107650873246,3.657311034585705,2.4713390439606484,2.776413
M,50_249,F,50-59,p522,G2,20,2.19,3.2894564,3.2943379361767926,3.333627930647905,3.7268046528998773,3.086096603249296,3.1584215
M,50_249,F,30-39,p522,G2,5,2.19,3.2889,3.2866197255479976,3.260513850485108,3.9156298835244137,2.802423000328133,3.2168465
M,50_249,F,30-39,p522,G2,11,2.39,3.4041212,3.1729867097462545,3.318448068865479,4.011830451252408,3.0027018648100636,3.3336682
K,50_249,F,30-39,p121,G4,3,5.8,9.99449,9.85028398425524,9.995249037321468,9.096991373319804,9.688455022865327,10.382249
K,50_249,F,14-29,p422,G3,0,2.79,4.3272557,4.154139730189652,4.24057763423428,4.959754751312674,4.25729719800177,4.358993
K,50_249,F,14-29,p334,G3,3,5.33,4.7445908,4.888978931513459,4.643736689026113,5.161784784308655,4.780994818194522,4.7650414
K,50_249,F,14-29,p241,G3,0,6.83,6.20517,6.033097785042828,6.71077604472434,6.143175826526445,6.50355473842379,6.432656
K,50_249,F,14-29,p241,G3,1,5.0,6.3759956,6.378086423370663,6.655138396540992,6.159209254481111,6.62976390374328,6.550372
K,50_249,F,14-29,p334,G3,2,5.94,4.766718,4.888978931513459,4.621096170551273,5.14575135635399,4.721025072790956,4.7882147
K,50_249,M,30-39,p241,G4,0,5.83,7.5598373,7.401347598951011,7.014433820817338,7.370305595441611,7.298437798206955,8.354056
D,50_249,M,50-59,p962,G2,0,2.61,2.8378503,2.8200715273950143,2.7222531067683193,3.374284622940671,2.8078694289251085,2.5272236
D,50_249,M,50-59,p962,G2,1,2.95,2.987102,2.830571427335665,2.7503543338067518,3.3903180508953366,2.832309426354751,2.5695958
D,50_249,M,14-29,p432,G2,3,3.37,4.416689,4.917299579667945,4.706424980000444,4.798715217998665,3.9829212552473696,4.1115494
D,50_249,M,14-29,p961,G2,7,2.84,3.0829515,3.2716534497503496,2.9880915901778367,3.3660570818552227,3.2327872433770404,2.5855017
D,50_249,M,14-29,p962,G2,0,2.61,2.811589,2.96236312820283,2.853094832435028,3.4997948743720846,2.4810563512346953,2.8796759
D,50_249,M,40-49,p962,G2,0,2.61,3.0209246,2.896236165665035,2.7159019542638636,3.6254595637198115,2.9515223376871633,3.1080675
D,50_249,F,30-39,p121,G3,14,3.47,6.765366,8.090759769686818,8.153665938194466,8.229065132264427,5.898965444229114,7.730818
D,50_249,F,60+,p263,G4,21,3.62,5.080374,4.983434318987614,5.187193857287967,5.840263945302164,4.504396059228634,5.0218415
D,50_249,M,14-29,p962,G2,1,2.95,3.0761626,3.0613501893258164,2.845079104085836,3.5158283023267503,2.5964602829069174,2.9088292
D,50_249,F,40-49,p522,G2,12,2.72,3.1907449,3.370366834602687,3.1037762328890195,3.6783504015924726,3.0515157115019327,3.2036448
D,50_249,M,60+,p121,G2,10,2.5,4.5000973,5.1264249799190305,6.210516029593544,7.457891598458154,4.405252215062262,5.6678395
D,50_249,M,50-59,p833,G2,5,3.45,3.857623,4.0672812784574,4.197341193534299,3.5305751404455608,4.051220564649956,3.6588216
D,50_249,M,50-59,p962,G2,0,2.61,2.8378503,2.8200715273950143,2.7222531067683193,3.374284622940671,2.8078694289251085,2.5272236
D,50_249,M,60+,p833,G2,19,4.13,4.1986284,4.257304221755012,4.255443713190047,3.5473996492471045,3.9456923367969265,3.6167002
D,50_249,M,14-29,p962,G2,3,3.5,3.1359675,3.089554117623335,2.9800199381222026,3.5478951582360816,2.7984227382779516,2.9676766
B,1_49,F,40-49,p241,G4,19,3.01,4.4515457,4.6804996130836045,4.214177521117831,5.5991497253305145,4.197526567049,5.1735415
B,1_49,M,40-49,p833,G2,19,3.28,3.7402334,3.8542349833200378,3.9161701817064083,3.111744237847089,3.893310394144047,4.0416145
B,1_49,M,40-49,p834,G2,16,2.35,4.6617093,4.5129777355618135,4.555242365223455,4.6236401645181395,3.5900318051063653,3.9816656
B,1_49,M,40-49,p834,G2,5,2.46,4.207218,4.371465643067316,4.529288703176974,4.447272457016817,4.0059387631907555,3.8943706
I,1_49,M,30-39,p512,G2,2,2.72,2.9374316,3.0986078728845845,3.031844446442515,3.3622014483316223,3.421465458834279,2.846161
I,1_49,M,14-29,p513,G3,2,3.48,2.758402,3.3144348921418074,2.973243991756098,3.069102769448954,2.7759221871436686,2.8747017
I,1_49,M,14-29,p512,G2,1,2.21,2.8536658,3.0634123695941717,2.675268795777419,3.042351621863849,2.8229495338594996,2.876885
I,1_49,M,30-39,p513,G3,2,2.21,2.8220272,3.3144348921418074,2.900098741757392,3.3729191679620616,2.8231129094483842,3.0401387
I,1_49,M,14-29,p512,G2,1,2.21,2.8536658,3.0634123695941717,2.675268795777419,3.042351621863849,2.8229495338594996,2.876885
C,1_49,M,50-59,p132,G4,9,4.92,4.298349,4.848755041628286,5.206499820572104,6.557665835876809,3.6602063726980294,4.9634504
C,1_49,M,50-59,p712,G2,9,4.92,3.4040542,3.321119374262316,4.572601896288593,2.8739350187768586,3.5371780724539184,3.427462
C,1_49,M,40-49,p712,G2,9,4.92,3.432277,3.2578364036152427,4.671929171796972,3.1251099595559997,3.4976430043830344,3.2047908
C,1_49,M,14-29,p214,G3,1,4.92,5.755628,5.694056073466314,6.0105034861970985,5.346081877402965,5.828395695388209,6.174076
I,1_49,F,40-49,p141,G4,1,2.19,3.4228756,4.228419821593219,3.4313956396511633,4.449610551751415,3.1143126475756535,4.1583304
I,1_49,F,14-29,p911,G2,1,2.19,2.558072,2.6246081571464988,2.489751683952925,1.6881405828107203,2.802638368806356,2.9050736
I,1_49,M,40-49,p911,G2,0,2.19,2.5050027,2.6846220717103595,2.548953262252239,2.238864283797178,2.170454861801346,2.4095788
M,50_249,F,14-29,p211,G3,3,3.23,5.1221924,5.97369295932185,5.730953558687507,5.45964255867306,3.9847110968824104,4.720086
M,50_249,F,60+,p211,G2,44,2.81,3.4777515,3.60591834046552,4.154769517573372,5.272697241746453,3.423203221909291,3.7497826
M,50_249,F,30-39,p211,G4,12,3.72,6.1294546,6.47763396130414,6.285090347223336,6.389980739586822,5.363428982153912,5.8788157
M,50_249,F,30-39,p211,G4,6,5.21,5.98269,6.894905589180538,6.333033889618868,6.2937801718588275,5.163111646749607,5.930002
M,50_249,F,50-59,p211,G2,40,2.74,3.4244092,3.5322257901950205,4.220426326704356,5.416207012491566,3.0734045139926796,3.5991902
E,50_249,M,60+,p214,G4,32,3.96,6.0759206,6.358264179352152,6.45540577437826,7.020320041446107,6.855872719636055,6.5185304
