nace,esize_class,gender,age_class,lpk,education,experience,target
C,1_49,M,40-49,721,G2,13,8.2
C,1_49,F,40-49,334,G2,0,2.51
M,50_249,F,40-49,522,G2,18,2.19
M,50_249,F,40-49,522,G2,12,2.19
M,50_249,F,14-29,522,G2,0,2.19
M,50_249,M,50-59,522,G2,3,2.19
M,50_249,F,40-49,522,G2,0,2.26
M,50_249,F,50-59,522,G2,20,2.19
M,50_249,F,30-39,522,G2,5,2.19
M,50_249,F,30-39,522,G2,11,2.39
K,50_249,F,30-39,121,G4,3,5.8
K,50_249,F,14-29,422,G3,0,2.79
K,50_249,F,14-29,334,G3,3,5.33
K,50_249,F,14-29,241,G3,0,6.83
K,50_249,F,14-29,241,G3,1,5.0
K,50_249,F,14-29,334,G3,2,5.94
K,50_249,M,30-39,241,G4,0,5.83
D,50_249,M,50-59,962,G2,0,2.61
D,50_249,M,50-59,962,G2,1,2.95
D,50_249,M,14-29,432,G2,3,3.37
D,50_249,M,14-29,961,G2,7,2.84
D,50_249,M,14-29,962,G2,0,2.61
D,50_249,M,40-49,962,G2,0,2.61
D,50_249,F,30-39,121,G3,14,3.47
D,50_249,F,60+,263,G4,21,3.62
D,50_249,M,14-29,962,G2,1,2.95
D,50_249,F,40-49,522,G2,12,2.72
D,50_249,M,60+,121,G2,10,2.5
D,50_249,M,50-59,833,G2,5,3.45
D,50_249,M,50-59,962,G2,0,2.61
D,50_249,M,60+,833,G2,19,4.13
D,50_249,M,14-29,962,G2,3,3.5
B,1_49,F,40-49,241,G4,19,3.01
B,1_49,M,40-49,833,G2,19,3.28
B,1_49,M,40-49,834,G2,16,2.35
B,1_49,M,40-49,834,G2,5,2.46
I,1_49,M,30-39,512,G2,2,2.72
I,1_49,M,14-29,513,G3,2,3.48
I,1_49,M,14-29,512,G2,1,2.21
I,1_49,M,30-39,513,G3,2,2.21
I,1_49,M,14-29,512,G2,1,2.21
C,1_49,M,50-59,132,G4,9,4.92
C,1_49,M,50-59,712,G2,9,4.92
C,1_49,M,40-49,712,G2,9,4.92
C,1_49,M,14-29,214,G3,1,4.92
I,1_49,F,40-49,141,G4,1,2.19
I,1_49,F,14-29,911,G2,1,2.19
I,1_49,M,40-49,911,G2,0,2.19
M,50_249,F,14-29,211,G3,3,3.23
M,50_249,F,60+,211,G2,44,2.81
M,50_249,F,30-39,211,G4,12,3.72
M,50_249,F,30-39,211,G4,6,5.21
M,50_249,F,50-59,211,G2,40,2.74
E,50_249,M,60+,214,G4,32,3.96
E,50_249,M,50-59,723,G2,6,3.41
E,50_249,M,60+,723,G2,39,4.01
E,50_249,M,30-39,214,G3,12,5.62
E,50_249,F,60+,314,G2,35,2.9
E,50_249,M,50-59,723,G2,11,4.31
E,50_249,M,60+,741,G2,41,4.55
E,50_249,M,50-59,723,G2,5,3.32
E,50_249,M,60+,723,G2,40,3.89
E,50_249,M,60+,313,G2,41,3.59
E,50_249,M,40-49,833,G2,13,3.99
E,50_249,M,50-59,723,G2,3,3.87
E,50_249,M,40-49,742,G2,6,3.73
E,50_249,F,40-49,911,G2,5,3.01
M,50_249,M,40-49,211,G3,2,2.59
M,50_249,M,50-59,352,G3,3,4.83
M,50_249,M,30-39,352,G3,0,3.48
M,50_249,M,60+,352,G3,37,3.42
M,50_249,M,30-39,211,G3,5,5.06
M,50_249,M,50-59,211,G3,13,3.55
M,50_249,F,60+,352,G3,27,4.96
M,50_249,M,50-59,211,G3,27,3.21
M,50_249,M,50-59,211,G3,4,5.07
M,50_249,M,40-49,215,G3,5,5.74
B,1_49,F,30-39,241,G3,5,5.69
E,GT_250,M,50-59,712,G2,26,4.56
