lpk,hourly_rate,esize_class_orig,esize_class_1_49,esize_class_50_249,esize_class_GT_250,gender_orig,gender_F,gender_M,age_class_orig,age_class_14-29,age_class_30-39,age_class_40-49,age_class_50-59,age_class_60+,education_orig,education_G1,education_G2,education_G3,education_G4,lpk1,lpk2,lpk1_nc,outlier,nace_orig,nace_B,nace_C,nace_D,nace_E,nace_F,nace_G,nace_H,nace_I,nace_J,nace_K,nace_L,nace_M,nace_N,nace_O,nace_P,nace_Q,nace_R,nace_S
722,8.13,1_49,1,0,0,M,0,1,50-59,0,0,0,1,0,G2,0,1,0,0,7,72,478,False,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,8.2,1_49,1,0,0,M,0,1,40-49,0,0,1,0,0,G2,0,1,0,0,7,72,478,False,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,8.2,1_49,1,0,0,M,0,1,50-59,0,0,0,1,0,G2,0,1,0,0,7,72,478,False,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,2.51,1_49,1,0,0,F,1,0,40-49,0,0,1,0,0,G2,0,1,0,0,3,33,300,False,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,2.19,50_249,0,1,0,F,1,0,40-49,0,0,1,0,0,G2,0,1,0,0,5,52,500,False,M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
522,2.19,50_249,0,1,0,F,1,0,40-49,0,0,1,0,0,G2,0,1,0,0,5,52,500,False,M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
522,2.19,50_249,0,1,0,F,1,0,14-29,1,0,0,0,0,G2,0,1,0,0,5,52,500,False,M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
522,2.19,50_249,0,1,0,M,0,1,50-59,0,0,0,1,0,G2,0,1,0,0,5,52,500,False,M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
522,2.26,50_249,0,1,0,F,1,0,40-49,0,0,1,0,0,G2,0,1,0,0,5,52,500,False,M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
522,2.19,50_249,0,1,0,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,5,52,500,False,M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
522,2.19,50_249,0,1,0,F,1,0,30-39,0,1,0,0,0,G2,0,1,0,0,5,52,500,False,M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
522,2.39,50_249,0,1,0,F,1,0,30-39,0,1,0,0,0,G2,0,1,0,0,5,52,500,False,M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
121,5.8,50_249,0,1,0,F,1,0,30-39,0,1,0,0,0,G4,0,0,0,1,1,12,100,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
261,25.68,50_249,0,1,0,M,0,1,30-39,0,1,0,0,0,G4,0,0,0,1,2,26,200,True,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
422,2.79,50_249,0,1,0,F,1,0,14-29,1,0,0,0,0,G3,0,0,1,0,4,42,478,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
241,14.45,50_249,0,1,0,M,0,1,30-39,0,1,0,0,0,G4,0,0,0,1,2,24,200,True,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
334,5.33,50_249,0,1,0,F,1,0,14-29,1,0,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
241,6.83,50_249,0,1,0,F,1,0,14-29,1,0,0,0,0,G3,0,0,1,0,2,24,200,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
241,5.0,50_249,0,1,0,F,1,0,14-29,1,0,0,0,0,G3,0,0,1,0,2,24,200,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
334,5.94,50_249,0,1,0,F,1,0,14-29,1,0,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
241,5.83,50_249,0,1,0,M,0,1,30-39,0,1,0,0,0,G4,0,0,0,1,2,24,200,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
261,16.04,50_249,0,1,0,M,0,1,30-39,0,1,0,0,0,G4,0,0,0,1,2,26,200,True,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
422,9.75,50_249,0,1,0,F,1,0,30-39,0,1,0,0,0,G3,0,0,1,0,4,42,478,True,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
331,7.65,50_249,0,1,0,M,0,1,14-29,1,0,0,0,0,G4,0,0,0,1,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
122,32.25,50_249,0,1,0,F,1,0,30-39,0,1,0,0,0,G4,0,0,0,1,1,12,100,True,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
121,28.77,50_249,0,1,0,M,0,1,40-49,0,0,1,0,0,G4,0,0,0,1,1,12,100,True,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
962,2.61,50_249,0,1,0,M,0,1,50-59,0,0,0,1,0,G2,0,1,0,0,9,96,900,False,D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
962,2.95,50_249,0,1,0,M,0,1,50-59,0,0,0,1,0,G2,0,1,0,0,9,96,900,False,D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,3.37,50_249,0,1,0,M,0,1,14-29,1,0,0,0,0,G2,0,1,0,0,4,43,478,False,D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
961,2.84,50_249,0,1,0,M,0,1,14-29,1,0,0,0,0,G2,0,1,0,0,9,96,900,False,D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
962,2.61,50_249,0,1,0,M,0,1,14-29,1,0,0,0,0,G2,0,1,0,0,9,96,900,False,D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
